Projeto;Ações;Parceiro;Instrumento Utilizado; Origem Recurso ;VALOR DO RECURSO;Objetivo;Local;Pessoas Atendidas;Público Alvo;INICIO;FIM;Resultado Esperado
Gingado Capoeira;"Realização de pesquisas sobre a capoeira em jornais e revistas; Trabalhos de expressão corporal e rítmico; - Encenação teatral de trechos da história da capoeira; montagem de coreografias de folguedos folclóricos; Formação de grupos musicais e orquestras de berimbaus, com instrumentos e ritmos da capoeira para apresentações em escolas e na comunidade; - Produção de músicas de capoeira, retratando a realidade do núcleo e da comunidade; realização de rodas de capoeira; realização de festivais de capoeira, com a exposição do material produzido (textos, músicas, instrumentos, peças teatrais e coreografias).";Associação Cultural Gingado Capoeira;CONVÊNIO;Emenda Parlamentar n° 36300012; R$182.200,00 ;Realizar ações voltadas à inclusão social, à educação esportiva e à formação cultural de crianças e jovens em situação de vulnerabilidade socioeconômica, por meio do ensino, da prática e da difusão de manifestações culturais afro-brasileira em especial aulas de Capoeira.;Nas cidades satélites do Distrito Federal: Guará, Asa Norte, Samambaia, Vila Planalto, Paranoá, Itapuã e Cruzeiro;175;Crianças e jovens em situação de vulnerabilidade socioeconômica;1302/2017;30/08/2017;Atendimento de 25 a 30 alunos por localidade atendido
Núcleo de Formadores de Agentes da Cultura Afro-brasileira - NUFAC/2016;Curso de Extensão em Assistente em Design e Produção de Moda com Referência à Matriz Africana, Curso de Extensão em Desenvolvimento de Jogos Analógicos e Digitais, Curso de Extensão de Operador de Processamento de Frutas e Hortaliças ;Instituto Federal de Brasília (IFB);TED;Emenda Parlamentar n° 28260002; R$491.000,00 ;Ofertar cursos para qualificar pessoas de comunidades negras e potencializar sua inclusão no mercado de trabalho.;Campus Taguatinga, Campus Estrutural e Campus Gama.;60;Comunidade Negra residente no DF;01/11/2016;01/11/2017;Criar condições para possibilitar mais inserções da comunidade negra no mercado de trabalho.
Projeto Circuito Cultural de Dança Afro-Brasileira ;   Evento composto de apresentações de danças pertinentes à cultura Afro-Brasileira realizado em Brasília e Regiões Administrativas do Distrito Federal. Oferecer infraestrutura para os grupos culturais a fim de promover, divulgar a cultura afro-brasileira.  busca promover a consciência artística e resgate sócio-cultural, notadamente na área da dança, em cada localidade a ser contemplada no âmbito do Distrito Federal, resultando numa grande mostra da cultura afro-brasileira em 14  cidades satélites  do DF, e no Plano Piloto.;Execução direta da FCP;Adesão de Ata de Registro de Preço;Emenda Parlamentar nº 3755016   e Emenda Parlamentar Senador Hélio José  nº 3791.0012 ; R$1.683.824,00 ;Realização de um circuito de danças afro-brasileiras, como Afoxé, Bumba Meu Boi, Cacuriá, Capoeiras, Carimbó, entre outras.;Taguatinga, Itapoã, Paranoá, São Sebastião, Santa Maria, Gama, Recanto das Emas,Riacho Fundo I e II, Guará I, Samambaia, Ceilândia, Estrutural, Brazlândia e Brasília ;28.000;Público Geral;21/10/2016;05/02/2017;Proporcionar o conhecimento e identidade com a diversidade da cultura afro-brasileira às comunidades contempladas bem como incentivar e identificar as possibilidades para os artistas locais por meio de seu trabalho a geração de renda e a mobilidade social. 
XII Batizado de Troca de Cordel Cultural de Capoeira;Oficinas de práticas de capoeira, palestras sobre metodologia de aplicação e seus fundamentos, rodas temáticas de conversas, fóruns culturais;"""-""";Licitação - modalidade Inexigibilidade;Emenda Parlamentar nº 37910012; R$169.362,00 ;"promoção de espetáculos de grupos tradicionais de cultura popular afro-brasileira, sendo eles: Boi de Seu Teodoro, Seu Estrelo e o Fuá do Terreiro e Grito de Liberdade
 ";Brasília/df (Riacho Fundo I);1000;População local e convidados;09/12/2016;11/12/2016;Difusão das manifestações do patrimônio imaterial e das tradições culturais afro-brasileiras no Distrito Federal. 
Circuito Afro Brasileiro de Cinema do Tocantins ;Exibição de filmes de cineastas e diretores afro-descendentes em 30 (trinta) municípios do Estado de Tocantins.;Instituto Casa da Vila;CONVENIO;Emenda Parlamentar nº 24290007; R$1.000.000,00 ;Promover a cultura afro-brasileira através da Produção de Documentário e realização de Cineclube itinerante com exibição de filmes de cineastas e diretores afro-descendentes em 30 (trinta) municípios do Estado de Tocantins.;Tocantins/TO  que objetivou visitar 30 cidades do Estado do Tocantins;12000;publico geral;23/01/2017;08/01/2018;
Virada Afro - Circuito Cultural Amapá Afro;"Música, gastronomia, artesanato, expressões culturais tradicionais, literatura e demais segmentos culturais de influência africana.; Difusão de costumes e tradições da cultura negra e fomentar negócios de empreendedores da comunidade negra do Amapá e Região Amazônica; Estimular a produtividade da comunidade negra, impulsionando o interesse em investimentos nesse mercado; Estimular a capacitação para comercialização de produtos afro-étnicos; - Promoção de espetáculos de música e dança; - Promoçãode apresentações de grupos tradicionais e de matriz africana; - Promoçãode apresentações de grupos de capoeira e de dança de rua; - Promoção de palestras com temas ligados a cultura negra, por personalidades de renome nacional e local.";Governo do Estado do Amapá;CONVENIO;Emenda Parlamentar nº 37220001; R$1.000.000,00 ;Realizar o projeto VIRADA AFRO - CIRCUITO CULTURAL AMAPÁ AFRO na cidade de Macapá, com a realização de feira afro-étnica voltada para produtos de aspectos culturais das comunidades tradicionais do Estado do Amapá. ;Macapá/AP;45000;Público Geral;29/12/2017;30/12/2017;"- Difusão de costumes e tradições da cultura negra e fomentar negócios de empreendedores da comunidade negra do Amapá e Região Amazônica;"
Rede de Agentes Sociais – Com Enfoque na Cultura Afro-Brasileira;Realizar dois encontros em Belo Horizonte - MG, com representantes de associações civis e movimentos sociais como atividades de encerramento dos ciclos dos CRBs - Cursos Realidade Brasileira de Minas Gerais.;Universidade Federal de Alfenas - UNIFAL;TED;Emenda Parlamentar nº 27640013; R$100.000,00 ;CONSOLIDAR a Rede de Agentes Sociais. Surge após a necessidade de se criar um espaço permanente de discussões e debates sobre a realidade brasileira. Essa demanda é oriunda da realização dos CRBs  promovidos em seis regiões (Rio Doce, Zona da Mata, Sul de Minas, Triangulo Mineiro, Norte de Minas, Metropolitana) do estado de Mina Gerais.;Belo Horizonte;284;Educadores populares, professores e jovens negros do estado de Minas Gerais;01/12/2016;01/11/2017;Formação de uma rede de educadores populares, agentes sócio culturais, agentes comunitários, de maneira que eles estejam melhor preparados e empoderados a fim de propiciar o avanço concreto da implementação da Lei 10.639/03, tornando-a uma realidade e uma prática social. 
Encontros de Formação com Grandes Mestres de Capoeira e Seminário História, Tradição e Ginga- No Caminho da Salvaguarda;"Fomentar a criação e uma rede de grupos de capoeira, visando o contato e divulgação de informações sobre a capoeira, incluindo eventos; Elaborar diretrizes para organização de espaços de participação popular; Organizar um grupo para discussão e representação junto ao coletivo deliberativo de mestres do estado de São Paulo, organizando a representação do Estado junto as demandas nacionais;  Construir a carta de Ribeirão Preto, com indicativos de construção de políticas públicas e orçamentárias para fomento da capoeira;  Apresentar a Região de Ribeirão Preto ao cenário nacional/internacional enquanto berço de uma capoeira raiz;  Apresentação de documento balizador para inclusão de mestres de cultura popular, (CAPOEIRA) em todos os editais de seleção de projetos e ou consultores, quando se tratar de cultura negra e ou popular.";Prefeitura Municipal de Ribeirão Preto;CONVENIO;Emenda Parlamentar nº 282000014; R$200.000,00 ;Contribuir para Salvaguarda da Capoeira, enquanto Patrimônio Imaterial, passando pela vertente de fortalecimento dos detentores do saber dessa arte, bem como elaborar diretrizes para organização de espaços de participação popular;Ribeirão Preto/SP;500;capoeiristas e detentores do saber de cultura negra, alunos de capoeira, crianças e adolescentes;29/12/2016;31/07/2017;Salvagaurda da capoeira
REALIZAÇÃO DE ATIVIDADES CULTURAIS COMEMORATIVAS AO DIA 20 DE NOVEMBRO - DIA NACIONAL DA CONSCIÊNCIA NEGRA;Exposições de Arte, Lançamento de Publicações, Campanha Filhos do Brasil, Feira de Artesanato Quilombola, Cortejo Afro, Feira de Produtos Culturais e Gastronômicas e Atividades Artísticas, Culturais e shows musicais com artistas locais.                             ;Governo do Estado de Alagoas, Prefeituras de Maceió e União dos Palmares;Licitação - Inexigibilidade e Pregão Eletrônico;Recurso Próprio da Fundação, no valor de R$ 165.000,00 (atividade realizada em São Paulo) e R$ 1.100.000,00 do Fundo Nacional de Cultura (FNC), em Maceió; R$1.265.000,00 ;Realizar atividades de Promoção, Proteção e Divulgações, envolvendo um conjunto de projetos, ações e atividades ;"Maceió; São Paulo";10.000 - Maceió  15.000 - São Paulo           ;Público Geral;09/11/2016;20/11/2016;Proporcionar o conhecimento e identidade com a diversidade da cultura afro-brasileira às comunidades contempladas, bem como incentivar e identificar as possibilidades para os artistas locais por meio de seu trabalho a geração de renda e a mobilidade social. 
I Ciclo de Formação Direitos Humanos e Diversidade: Sistema Penal e Racismo do Estado de Alagoas;Debate sobre racismo, igualdade racial e cidadania relacionado ao sistema penal do estado de Alagoas;Governo do Estado de Alagoas;A infraestrutura do evento foi custeada pela Secretaria de Segurança Pública do Estado de Alagoas ;A Fundação utilizou parte do seu recurso de R$ 165.000,00 para a confecção de cartílhas e emissão de bilhetes aéreos e pagamento de diárias para os palestrantes.; R$165.000,00 ;Ampliar a implementação de ações voltadas para o fortalecimento do patrimônio cultural afro-brasileiro relacionado ao combate ao racismo, a promoção da igualdade racial e o resgate da cidadania no exercício dos direitos e garantias individuais e coletivas da população negra.;Maceió/AL;200;Policiais Militares, Civil e Federais,  Bombeiros Militares e Agentes Penitenciários ;09/11/16;10//11/2016;"Promoção e Proteção dos Direitos da População Negra; Atendimento de qualidade às vitimas de racismo e adequado encaminhamento, e; Conscientização a partir da exposição do tema quanto à necessidade de se preservar a vida humana. "
