REGIÃO;UF;MUNICÍPIO ;COMUNIDADE;Nº PROCESSO NA FCP;DATA DA ABERTURA;ETAPA ATUAL PROCESSO FCP;Nº DA PORTARIA;DATA DA PORTARIA NO DOU;Nº PROCESSO INCRA;ETAPA DO PROCESSO DE TITULAÇÃO
SUL;RS;MAQUINÉ | OSÓRIO;MORRO ALTO;01420.000014/2003-04;09/01/2003;CERTIFICADA;19/2004;04/06/2004;54220.001201/2004-09;RTID
NORDESTE;PI;QUEIMADA NOVA;TAPUIO;01420.000052/2004-30;03/02/2004;CERTIFICADA;19/2004;04/06/2004;54380.001320/2004-11 ;RTID
NORDESTE;PI;QUEIMADA NOVA;SUMIDOURO;01420.000051/2004-95;03/02/2004;CERTIFICADA;19/2004;04/06/2004;54380.001323/2004-54 ;
SUL;RS;RESTINGA SECA;RINCÃO DOS MARTINIANOS;01420.000036/2003-66;09/01/2003;CERTIFICADA;19/2004;04/06/2004;54220.000258/2005-63;TITULAÇÃO PARCIAL
SUL;RS;RESTINGA SECA;SÃO MIGUEL;01420.000034/2003-77;09/01/2003;CERTIFICADA;19/2004;04/06/2004;54220.000257/2005-19;DECRETO NO DOU
SUL;RS;MOSTARDAS;CASCA;01420.000598/2001-48;18/07/2001;CERTIFICADA;19/2004;04/06/2004;54220.001202/2004-45;TITULAÇÃO PARCIAL
SUL;RS;GRAVATAÍ;MANOEL BARBOSA;01420.000146/2003-28;04/09/2003;CERTIFICADA;19/2004;04/06/2004;54220.001830/2004-21;DECRETO NO DOU
SUDESTE;MG;SÃO JOÃO DA PONTE | VARZELÂNDIA | VERDELÂNDIA;BREJO DOS CRIOULOS (composta pelos povoados: Arapuín, Araruba, Cabaceiros, Caxambu, Conrado e Furado Seco);01420.000308/1999-90;02/04/2004;CERTIFICADA;19/2004;04/06/2004;54170.008821/0203-12;DECRETO NO DOU
SUL;SC;ABDON BATISTA | CAMPOS NOVOS;INVERNADA DOS NEGROS;01420.000155/2004-08;02/04/2004;CERTIFICADA;19/2004;04/06/2004;54210.000354/2004-40 ;TITULAÇÃO PARCIAL
SUL;RS;RIO PARDO;RINCÃO DOS NEGROS;01420.000267/2003-70;31/01/2011;CERTIFICADA;19/2004;04/06/2004;54220.000398/2005-31;RTID
NORDESTE;MA;MATA ROMA;BOM SUCESSO DOS NEGROS;01420.000319/1998-90;16/09/1998;CERTIFICADA;19/2004;04/06/2004;54230.003668/2005-47 ;
NORDESTE;RN;PARELHAS;BOA VISTA DOS NEGROS;01420.000004/2002-80;11/01/2002;CERTIFICADA;19/2004;04/06/2004;54330.001762/2004-52 ;DECRETO NO DOU
CENTRO-OESTE;GO;NOVA ROMA;QUILOMBOLA DO MAGALHÃES;01420.000121/2004-13;22/03/2004;CERTIFICADA;19/2004;04/06/2004;54700.000956/2006-47 ;DECRETO NO DOU
NORDESTE;SE;PORTO DA FOLHA;MOCAMBO;01420.000039/1997-09;24/02/1997;CERTIFICADA;19/2004;04/06/2004;54700.000256/2005-51 ;TRD  - Despacho de 15/07/2000 - 18/07/2000
NORDESTE;SE;AMPARO DE SÃO FRANCISCO | TELHA;LAGOA DOS CAMPINHOS;01420.000333/2003-10;11/09/2003;CERTIFICADA;19/2004;04/06/2004;54370.000520/2004-75 ;TITULAÇÃO PARCIAL
NORTE;RO;SÃO FRANCISCO DO GUAPORÉ;SANTO ANTÔNIO DO GUAPORÉ;01420.000359/2003-50;21/10/2003;CERTIFICADA;19/2004;04/06/2004;54300.000746/2005-81 ;RTID
NORDESTE;BA;BOM JESUS DA LAPA | MALHADA;NOVA BATALHINHA;01420.000188/2003-69;28/04/2003;CERTIFICADA;35/2004;10/12/2004;54160.001500/2006-59;DECRETO NO DOU
NORDESTE;PB;SANTA LUZIA;SERRA DO TALHADO;01420.000195/2004-41;14/04/2004;CERTIFICADA;19/2004;04/06/2004;54320.000417/2005-00 ;PORTARIA NO DOU
